"instrument","field","sample","scale","disposition","note"
"csie","Angle","—","PA","not-published-in-source","source publishes no value for this field"
"csie","Angle","—","BC","not-published-in-source","source publishes no value for this field"
"csie","Angle","—","DE","not-published-in-source","source publishes no value for this field"
"csie","Angle","—","FG","not-published-in-source","source publishes no value for this field"
"csie","Angle","—","HI","not-published-in-source","source publishes no value for this field"
"csie","Angle","—","JK","not-published-in-source","source publishes no value for this field"
"csie","Angle","—","LM","not-published-in-source","source publishes no value for this field"
"csie","Angle","—","NO","not-published-in-source","source publishes no value for this field"
"csie","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"csig","Angle","—","PA","not-published-in-source","source publishes no value for this field"
"csig","Angle","—","BC","not-published-in-source","source publishes no value for this field"
"csig","Angle","—","DE","not-published-in-source","source publishes no value for this field"
"csig","Angle","—","FG","not-published-in-source","source publishes no value for this field"
"csig","Angle","—","HI","not-published-in-source","source publishes no value for this field"
"csig","Angle","—","JK","not-published-in-source","source publishes no value for this field"
"csig","Angle","—","LM","not-published-in-source","source publishes no value for this field"
"csig","Angle","—","NO","not-published-in-source","source publishes no value for this field"
"csig","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"csip","Angle","—","PA","not-published-in-source","source publishes no value for this field"
"csip","Angle","—","BC","not-published-in-source","source publishes no value for this field"
"csip","Angle","—","DE","not-published-in-source","source publishes no value for this field"
"csip","Angle","—","FG","not-published-in-source","source publishes no value for this field"
"csip","Angle","—","HI","not-published-in-source","source publishes no value for this field"
"csip","Angle","—","JK","not-published-in-source","source publishes no value for this field"
"csip","Angle","—","LM","not-published-in-source","source publishes no value for this field"
"csip","Angle","—","NO","not-published-in-source","source publishes no value for this field"
"csip","Items","—","PA","not-published-in-source","source publishes no value for this field"
"csip","Items","—","BC","not-published-in-source","source publishes no value for this field"
"csip","Items","—","DE","not-published-in-source","source publishes no value for this field"
"csip","Items","—","FG","not-published-in-source","source publishes no value for this field"
"csip","Items","—","HI","not-published-in-source","source publishes no value for this field"
"csip","Items","—","JK","not-published-in-source","source publishes no value for this field"
"csip","Items","—","LM","not-published-in-source","source publishes no value for this field"
"csip","Items","—","NO","not-published-in-source","source publishes no value for this field"
"csip","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"csiv","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"iitc","Angle","—","PA","not-published-in-source","source publishes no value for this field"
"iitc","Angle","—","BC","not-published-in-source","source publishes no value for this field"
"iitc","Angle","—","DE","not-published-in-source","source publishes no value for this field"
"iitc","Angle","—","FG","not-published-in-source","source publishes no value for this field"
"iitc","Angle","—","HI","not-published-in-source","source publishes no value for this field"
"iitc","Angle","—","JK","not-published-in-source","source publishes no value for this field"
"iitc","Angle","—","LM","not-published-in-source","source publishes no value for this field"
"iitc","Angle","—","NO","not-published-in-source","source publishes no value for this field"
"iitc","Items","—","PA","not-published-in-source","source publishes no value for this field"
"iitc","Items","—","BC","not-published-in-source","source publishes no value for this field"
"iitc","Items","—","DE","not-published-in-source","source publishes no value for this field"
"iitc","Items","—","FG","not-published-in-source","source publishes no value for this field"
"iitc","Items","—","HI","not-published-in-source","source publishes no value for this field"
"iitc","Items","—","JK","not-published-in-source","source publishes no value for this field"
"iitc","Items","—","LM","not-published-in-source","source publishes no value for this field"
"iitc","Items","—","NO","not-published-in-source","source publishes no value for this field"
"iitc","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"csie","URL","1","—","transcription-error","URL pointed at a retired uidaho.edu path that no longer serves the cited norms table; repointed at the live page on this branch"
"csiv","URL","1","—","transcription-error","URL pointed at a retired uidaho.edu path that no longer serves the cited norms table; repointed at the live page on this branch"
"csiv","Reference","1","—","transcription-error","norms credited to Locke (2000), whose article publishes no octant statistics and a different sample; corrected on this branch to credit the website data alongside the instrument's article"
"iis32","Angle","—","PA","not-published-in-source","source publishes CIRCUM angle ESTIMATES per sample, not an assigned degree convention (IP2)"
"iis32","Angle","—","BC","not-published-in-source","source publishes CIRCUM angle ESTIMATES per sample, not an assigned degree convention (IP2)"
"iis32","Angle","—","DE","not-published-in-source","source publishes CIRCUM angle ESTIMATES per sample, not an assigned degree convention (IP2)"
"iis32","Angle","—","FG","not-published-in-source","source publishes CIRCUM angle ESTIMATES per sample, not an assigned degree convention (IP2)"
"iis32","Angle","—","HI","not-published-in-source","source publishes CIRCUM angle ESTIMATES per sample, not an assigned degree convention (IP2)"
"iis32","Angle","—","JK","not-published-in-source","source publishes CIRCUM angle ESTIMATES per sample, not an assigned degree convention (IP2)"
"iis32","Angle","—","LM","not-published-in-source","source publishes CIRCUM angle ESTIMATES per sample, not an assigned degree convention (IP2)"
"iis32","Angle","—","NO","not-published-in-source","source publishes CIRCUM angle ESTIMATES per sample, not an assigned degree convention (IP2)"
"iis32","M","1","PA","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","M","1","BC","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","M","1","DE","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","M","1","FG","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","M","1","HI","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","M","1","JK","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","M","1","LM","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","M","1","NO","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","SD","1","PA","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","SD","1","BC","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","SD","1","DE","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","SD","1","FG","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","SD","1","HI","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","SD","1","JK","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","SD","1","LM","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","SD","1","NO","source-not-identified","shipped value has no identified published source: the cited article publishes no such statistic for any sample it reports; the 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"iis32","Size","1","—","source-not-identified","shipped N of 1380 appears nowhere in the article, whose samples are 1,377 / 956 / 497"
"iis32","Population","1","—","source-not-identified","the shipped norm sample is unidentified, so the article describes no population for it"
"iis64","Angle","—","PA","not-published-in-source","source publishes CIRCUM angle ESTIMATES with Connect fixed at 0 deg, not an assigned degree convention (IP2)"
"iis64","Angle","—","BC","not-published-in-source","source publishes CIRCUM angle ESTIMATES with Connect fixed at 0 deg, not an assigned degree convention (IP2)"
"iis64","Angle","—","DE","not-published-in-source","source publishes CIRCUM angle ESTIMATES with Connect fixed at 0 deg, not an assigned degree convention (IP2)"
"iis64","Angle","—","FG","not-published-in-source","source publishes CIRCUM angle ESTIMATES with Connect fixed at 0 deg, not an assigned degree convention (IP2)"
"iis64","Angle","—","HI","not-published-in-source","source publishes CIRCUM angle ESTIMATES with Connect fixed at 0 deg, not an assigned degree convention (IP2)"
"iis64","Angle","—","JK","not-published-in-source","source publishes CIRCUM angle ESTIMATES with Connect fixed at 0 deg, not an assigned degree convention (IP2)"
"iis64","Angle","—","LM","not-published-in-source","source publishes CIRCUM angle ESTIMATES with Connect fixed at 0 deg, not an assigned degree convention (IP2)"
"iis64","Angle","—","NO","not-published-in-source","source publishes CIRCUM angle ESTIMATES with Connect fixed at 0 deg, not an assigned degree convention (IP2)"
"iis64","Population","1","—","intended-deviation","package ships a short standardised population summary; the source description is recorded in the source note"
"ipipipc","Angle","—","PA","not-published-in-source","source publishes no value for this field"
"ipipipc","Angle","—","BC","not-published-in-source","source publishes no value for this field"
"ipipipc","Angle","—","DE","not-published-in-source","source publishes no value for this field"
"ipipipc","Angle","—","FG","not-published-in-source","source publishes no value for this field"
"ipipipc","Angle","—","HI","not-published-in-source","source publishes no value for this field"
"ipipipc","Angle","—","JK","not-published-in-source","source publishes no value for this field"
"ipipipc","Angle","—","LM","not-published-in-source","source publishes no value for this field"
"ipipipc","Angle","—","NO","not-published-in-source","source publishes no value for this field"
"ipipipc","M","1","PA","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","M","1","BC","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","M","1","DE","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","M","1","FG","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","M","1","HI","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","M","1","JK","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","M","1","LM","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","M","1","NO","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
"ipipipc","SD","1","PA","source-not-identified","shipped value has no identified published source: the article publishes octant statistics only for Study 1's combined sample (p. 354), which these are not, and the shipped sample (Study 2, n = 274) has no descriptive statistics reported. The 2018 correspondence that supplied it is unrecoverable. Value ships unchanged and the instrument's printed credit says so."
