"instrument","field","scale","shipped","source","anchor","kind","disposition","generated","commit"
"csie","Angle","PA","90","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csie","Angle","BC","135","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csie","Angle","DE","180","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csie","Angle","FG","225","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csie","Angle","HI","270","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csie","Angle","JK","315","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csie","Angle","LM","360","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csie","Angle","NO","45","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csie","Population","—","American college students","undergraduates who participated in Study 1 of Locke & Sadler (2007)","CSIE_Norms.html sample description (retrieved 2026-08-06)","mismatch","intended-deviation","2026-08-06","e4ecef4d"
"csig","Angle","PA","90","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csig","Angle","BC","135","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csig","Angle","DE","180","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csig","Angle","FG","225","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csig","Angle","HI","270","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csig","Angle","JK","315","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csig","Angle","LM","360","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csig","Angle","NO","45","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csig","Population","—","MTurkers from US, Canada, and India about interactions between nations","MTurk respondents from the United States, Canada and India","p. 435 text, 'accessed and completed an online questionnaire through Amazon's Mechanical Turk website'; country breakdown same page","mismatch","intended-deviation","2026-08-06","e4ecef4d"
"csip","Angle","PA","90","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Angle","BC","135","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Angle","DE","180","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Angle","FG","225","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Angle","HI","270","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Angle","JK","315","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Angle","LM","360","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Angle","NO","45","not-published-in-source","not published — degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-06","e4ecef4d"
"csip","Items","PA","1, 9, 17, 25, 33, 41, 49, 57","not-published-in-source","not published in the article — items described but not numbered","not-published","not-published-in-source","2026-08-06","e4ecef4d"
